Paralowie School,-34.7584572,138.6132154
Pasadena High School,-34.9923126,138.587263
Reynella East College,-35.0894948,138.5545377
Seaford 6-12 School,-35.1882077,138.4845388
The Heights School,-34.8103189,138.6823646
William Light R-12 School,-34.9622861,138.5475533
Berri Family Day Care,-34.2848144,140.6028059
Central Metro Family Day Care,-34.9119848,138.5501024
Elizabeth Family Day Care,-34.7197631,138.6638542
Family Day Care - Business & Customer Support Ctr,-34.8644129,138.6049397
Maitland Family Day Care,-34.376034,137.672659
Mount Gambier Family Day Care,-37.8120612,140.7607834
Murray Bridge Family Day Care,-35.12447,139.279177
Naracoorte Family Day Care,-36.955737,140.7450455
Noarlunga Family Day Care,-35.140476,138.497
Port Augusta Family Day Care,-32.4888505,137.7769913
Port Lincoln Family Day Care,-34.723768,135.859537
Port Pirie Family Day Care,-33.1822007,138.0078513
Whyalla Family Day Care,-33.0283256,137.5452003
Wudinna Family Day Care,-33.0454978,135.4625148
Glossop High School - Middle Campus,-34.2786508,140.5427988
Glossop High School - Senior Campus,-34.2731235,140.6072839
Norwood Morialta Middle Campus - Morialta,-34.900672,138.6763533
Norwood Morialta Senior Campus - Norwood,-34.919278,138.6722879
Aberfoyle Park High School,-35.0731575,138.5949309
Adelaide High School,-34.9293435,138.5879672
Australian Science & Mathematics School,-35.01781,138.571039
Balaklava High School,-34.1546838,138.4173704
Banksia Park International High School,-34.813555,138.72616
Birdwood High School,-34.8202438,138.9551038
Blackwood High School,-35.026281,138.60658
Bordertown High School,-36.3126283,140.7695302
Brighton Secondary School,-35.003649,138.519768
Christies Beach HS & Southern Vocational College,-35.1328235,138.4986655
Craigmore High School,-34.6897153,138.7013425
Edward John Eyre High School,-33.0252401,137.5407445
Findon High School,-34.8966445,138.5274715
Fremont-Elizabeth City High School,-34.7232624,138.6682033
Gladstone High School,-33.2652717,138.3462526
Glenunga International High School,-34.9490137,138.6359181
Glossop High School,-34.2786508,140.5427988
Golden Grove High School,-34.7946988,138.6973466
Grant High School,-37.8462911,140.794516
Hamilton Secondary College,-34.9974885,138.5574781
Heathfield High School,-35.021536,138.712628
Henley High School,-34.9161994,138.5004723
John Pirie Secondary School,-33.18256,138.008668
Kapunda High School,-34.3332407,138.9112202
Le Fevre High School,-34.8449292,138.484412
Loxton High School,-34.4418367,140.5860799
Marden Senior College,-34.891259,138.635968
Marryatville High School,-34.9268019,138.6431464
Millicent High School,-37.5844787,140.3708567
Mitcham Girls High School,-34.9691059,138.6134423
Modbury High School,-34.836793,138.698045
Mount Barker High School,-35.074275,138.856842
Mount Gambier High School,-37.824545,140.7639375
Murray Bridge High School,-35.1334483,139.2854968
Naracoorte High School,-36.939511,140.7235252
Norwood Morialta High School,-34.919278,138.6722879
Nuriootpa High School,-34.4701273,139.003304
Para Hills High School,-34.8011169,138.6508443
Para West Adult Campus,-34.687265,138.664538
Parafield Gardens High School,-34.7853,138.617937
Penola High School,-37.373611,140.843834
Peterborough High School,-32.9783154,138.8329654
Port Augusta Secondary School,-32.4937171,137.767973
Port Lincoln High School,-34.72463,135.8548763
Renmark High School,-34.1699486,140.7459393
Riverton and District High School,-34.1578666,138.7531607
Roma Mitchell Secondary College,-34.8434214,138.6201451
Salisbury East High School,-34.7773434,138.6660189
Salisbury High School,-34.756201,138.640673
Seaton High School,-34.8848485,138.508657
Seaview High School,-35.0291505,138.5455674
Stuart High School,-33.0157612,137.5198032
Thebarton Senior College,-34.917287,138.563046
Underdale High School,-34.919208,138.545142
Unley High School,-34.9710016,138.6227476
Urrbrae Agricultural High School,-34.9670692,138.6252737
Valley View Secondary School,-34.834205,138.657208
Victor Harbor High School,-35.5569594,138.6065555
Waikerie High School,-34.184688,139.974605
Whyalla High School,-33.0399111,137.55663
Willunga High School,-35.2610453,138.5534683
Windsor Gardens Vocational College,-34.8610728,138.6568063
Wirreanda High School,-35.127814,138.534059
Woodville High School,-34.8716287,138.5401159
Pennington Junior Primary School,-34.8617103,138.5317031
Port Lincoln Junior Primary School,-34.7219347,135.8572551
Christie Downs Learning Together @ Home,-35.1340912,138.4965457
Fleurieu Learning Together @ Home,-35.5569641,138.6153645
Inner North Learning Together @ Home,-34.8656613,138.6033839
Inner South West Learning Together @ Home,-34.9773652,138.5573683
Limestone Coast Learning Together @ Home,-37.6082383,140.3619612
Lower Yorke Peninsula Learning Together@Home,-35.0185103,137.6077306
Murray Bridge Learning Together @ Home,-35.1397095,139.2829688
Northern Learning Together @ Home,-34.687265,138.664538
Port Augusta Learning Together@Home,-32.4888505,137.7769913
Port Lincoln Learning Together @ Home,-34.7408752,135.8443371
Port Pirie and Clare Learning Together @ Home,-33.1853176,137.9912337
Whyalla Learning Together @ Home,-33.0283256,137.5452003
Adelaide Miethke Kindergarten Occasional Care Ctr,-34.8816155,138.5347145
Agnes Goode Kindergarten Occasional Care,-34.9108345,138.627841
Aldinga Community Kindergarten Occ Care,-35.2740989,138.4532259
Ardrossan & Districts Kindergarten Occasional Care,-34.4253298,137.9134361
Bains Road Preschool Occ Care,-35.1146362,138.5422746
Barmera Kindergarten Occasional Care,-34.2521908,140.470121
Blair Athol North Children's Centre Occ Care,-34.8550689,138.5982725
Brinkworth Occasional Care,-33.6890978,138.4043799
Burra Occasional Care,-33.678641,138.937981
Burton Park Preschool Occ Care,-34.741195,138.5987835
Callington Kindergarten Occasional Care,-35.1146695,139.0390724
Christie Downs Kindergarten Occ Care,-35.131169,138.491515
Christies North Kindergarten Occ Care,-35.1316172,138.4823932
Coomandook & Districts Kgn Occasional Care,-35.4742919,139.7033142
Coonalpyn & District Kindergarten Occasional Care,-35.6995131,139.8547067
Cowandilla Children's Centre Occasional Care,-34.9340199,138.5593159
Cowell Occasional Care,-33.6847398,136.9182886
Crystal Brook Kindergarten Occ Care,-33.3506105,138.2118658
Darlington Kindergarten Occ Care,-35.026424,138.547393
Davison Street Occasional Care,-33.019902,137.5380912
Dorothy Hughes Occasional Care,-34.7547574,138.6360742
Dover Kindergarten Occ Care,-35.0250026,138.5277907
Elizabeth East Occasional Care,-34.7249771,138.6795055
Elizabeth North CPC Occasional Care,-34.7030062,138.6756238
Eudunda Community Preschool Occ Care,-34.1818042,139.1026935
Evanston Preschool Occ Care,-34.624573,138.7356173
Gladigau Park Kindergarten Occ Care,-37.81336,140.795278
Gladstone Occasional Care,-33.268487,138.3591226
Glencoe & District Kindergarten Occasional Care,-37.687654,140.6113985
Hamley Bridge Occasional Care,-34.3560895,138.6808826
Highbury Children's Centre Occ Care,-34.8489836,138.7076736
Holden Hill Kindergarten Occasional Care,-34.8538351,138.6716809
Ingle Farm Community Kindergarten Occ Care,-34.831146,138.644378
John Hartley School Children's Centre Occ Care,-34.6802379,138.67363
Kalangadoo Kindergarten Occasional Care,-37.5627273,140.6996118
Kapunda Kindergarten Occ Care,-34.3389186,138.9142468
Kimba Community Kindergarten Occ Care,-33.138825,136.417479
Kirton Point Children's Centre Occasional Care,-34.7303302,135.8672506
Klemzig Kindergarten Occ Care,-34.873584,138.640882
Kurralta Park Comm Kindergarten Occ Care,-34.946185,138.567313
Lake Windemere School CPC Occ Care,-34.7391443,138.6192315
Lameroo & District Kindergarten Occasional Care,-35.3310245,140.5208524
Lantana Kindergarten Occ Care,-34.7887024,138.6064683
Lucy Morice Kindergarten Occ Care,-34.906114,138.607182
Lyndoch Valley Occasional Care,-34.6043922,138.8855433
Mark Oliphant College CPC Occasional Care,-34.6666323,138.6847908
McRitchie Crescent Occasional Care,-33.0226911,137.527575
Meadows & Districts Kindergarten Occasional Care,-35.180507,138.758012
Melaleuca Park Kindergarten Occasional Care,-37.8382561,140.7905126
Michelle DeGaris Memorial Kindergarten Occ Care,-36.9609013,140.7497438
Minlaton District ELC Occ Care,-34.7706,137.592065
Mitchell Park Kindergarten Occ Care,-35.0119631,138.5646238
Morphett Vale Primary School - Occasional Care,-35.1093729,138.5167062
Mount Gambier Children's Centre Occasional Care,-37.8120612,140.7607834
Mt Pleasant & District Kindergarten Occ Care,-34.775802,139.050672
Norrie Stuart Occasional Care,-33.0386703,137.5310539
North Haven Kindergarten Occasional Care,-34.7893998,138.4964946
Orroroo Occasional Care,-32.7310811,138.6120818
Parafield Gardens Children's Ctr Occasional Care,-34.7839798,138.6152289
Parks Children's Centre Occasional Care,-34.860959,138.557306
Pennington Kindergarten Occ Care,-34.8616417,138.5328748
Point Pearce Occasional Care,-34.416635,137.5011914
Port Augusta Children's Centre Occasional Care,-32.4888505,137.7769913
Port Wakefield Kindergarten Occasional Care,-34.1866339,138.1506231
Prospect Kindergarten Occ Care,-34.874039,138.586851
Quorn Kindergarten Occasional Care,-32.347995,138.042769
Riverview Preschool Centre Occ Care,-34.7677546,138.6140805
Sir Thomas Playford Kindergarten Occ Care,-34.7339953,138.658176
Strathalbyn Kindergarten Occ Care,-35.2609222,138.8873233
Streaky Bay Children's Centre Occ Care,-32.7984074,134.2113536
Surrey Downs Occasional Care,-34.8011455,138.7109807
Swan Reach Occasional Care,-34.5723155,139.602323
Tailem Bend Kindergarten Occ Care,-35.252388,139.456847
The Hub Preschool Occ Care,-35.0759061,138.5956506
Tinyeri Children's Ctr Occasional Care,-35.132152,139.2837029
Torrensville Preschool Centre Occ Care,-34.9184522,138.5564072
Trinity Gardens Children's Centre Occasional Care,-34.9093098,138.640183
West Lakes Kindergarten & ECC Occ Care,-34.8936291,138.4927876
Westport Preschool Occasional Care,-34.855121,138.491278
Whyalla Stuart ECC Kindergarten Occ Care,-33.0271522,137.5237072
Willsden Childhood Services Centre Occasional Care,-32.508372,137.781486
Woodcroft Heights Children's Ctr Occasional Care,-35.10665,138.557096
Woodend Children's Centre Occ Care,-35.080261,138.535659
Woodside Preschool Playcentre Occ Care,-34.95282,138.877327
Wudinna Occasional Care,-33.0433482,135.4616396
Adelaide Secondary School of English,-34.8859124,138.5658872
Bowden Brompton Community School,-34.894996,138.580116
Bowden Brompton Community School - Northern Middle School Campus,-34.7547233,138.6357024
Bowden Brompton Community School - Southern Campus,-35.139041,138.4784911
Bowden Brompton Community School - Torrens Road Campus,-34.894996,138.580116
School of Languages,-34.8858274,138.5654017
Warriappendi School,-34.942603,138.57062
Youth Education Centre,-34.8301419,138.6027798
Youth Education Centre - Cavan Campus,-34.8239132,138.6001461
Youth Education Centre - Flexicentre Campus,-34.8553851,138.5832645
Youth Education Centre - Goldsborough Campus,-34.8301419,138.6027798
Aberfoyle Campus Schools OSHC Incorporated,-35.0666756,138.5957395
Aberfoyle Hub Primary School OSHC/Vac,-35.078135,138.594753
Adelaide Hills YMCA OSHC/Vac,-35.074917,138.861668
Airdale Primary School OSHC/Vac,-33.1853176,137.9912337
Alberton Primary School OSHC/Vac,-34.863207,138.511746
Aldgate - Mt Lofty Area OSHC,-35.019445,138.74901
Aldinga Beach OSHCers/Vac,-35.2677932,138.4730074
Allenby Gardens Primary School OSHC,-34.9013794,138.5541168
Allendale East OSHC/Vac,-37.9994521,140.7117383
Angaston Community OSHC/Vac,-34.5092433,139.0474734
Angle Vale PS OSHC/Vac,-34.6443311,138.6459039
Annesley Junior School OSHC,-34.942219,138.596905
Antonio School OSHC/Vac,-35.1158962,138.5238973
Ardtornish Primary School OSHC/Vac - St Agnes,-34.8342763,138.7063369
Athelstone Primary School OSHC/Vac,-34.8684412,138.6996361
Banksia Park Primary School OSHC/Vac,-34.808908,138.725861
Barmera PS OSHC/Vac,-34.2525585,140.4761052
Barossa Recreation & Fitness Centre Vacation Care,-34.5229342,138.9941531
